date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:28	22449/22449	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2011:28:29%20GMT	https://game4ou.xyz/Robloxrobuxgenerator	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/game4ou.xyz/Robloxrobuxgenerator.html	(from )
18:28:29	33/33	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2011:28:30%20GMT	https://game4ou.xyz/robots.txt		(from )
18:28:29	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:30	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/www.google-analytics.com/analytics.js	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:30	255853/255853	---M--	200	added ('OK')	image/jpg	etag:%224cb52e46deba17ebf5a6b004ec89b1dd%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/162418819579423ce42a47972f7085657941187bab.jpg	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/d13pxqgp3ixdbh.cloudfront.net/uploads/162418819579423ce42a47972f7085657941187bab.jpg	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:31	55174/55174	---M--	200	added ('OK')	image/png	etag:%2239166154c0931e03e37b1cc2ba8eba54%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/162418819827a46514c8bfbe8be7a1250f1d3d934c.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/d13pxqgp3ixdbh.cloudfront.net/uploads/162418819827a46514c8bfbe8be7a1250f1d3d934c.png	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:31	25925/25925	---M--	200	added ('OK')	image/png	etag:%22c92292cf3476737a2a85a1a889e96497%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1624188197ada982d25238e121ba1d2e6c7b9680db.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/d13pxqgp3ixdbh.cloudfront.net/uploads/1624188197ada982d25238e121ba1d2e6c7b9680db.png	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:31	13/13	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2011:28:33%20GMT	https://game4ou.xyz/style.css	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/game4ou.xyz/style.html	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:32	17158/17158	---M--	200	added ('OK')	image/png	etag:%22004bbf6f1587cd8632daa340c4e6fe49%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/160436568967968d331daa38c7a6a954a0aa4fca4c.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/d13pxqgp3ixdbh.cloudfront.net/uploads/160436568967968d331daa38c7a6a954a0aa4fca4c.png	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:32	994694/994694	---M--	200	added ('OK')	image/png	etag:%22ff125e61d722906d6d9492ade6840745%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16241881968f82fe25da3dbd6282afefc26bb7aecb.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/d13pxqgp3ixdbh.cloudfront.net/uploads/16241881968f82fe25da3dbd6282afefc26bb7aecb.png	(from https://game4ou.xyz/Robloxrobuxgenerator)
18:28:32	17247/17247	---M--	200	added ('OK')	image/png	etag:%223f667e2621197b65bf7cf1f39743d9e6%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16043657032b82c89c8eee568e887037f8f309f721.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/roblox%20robux/d13pxqgp3ixdbh.cloudfront.net/uploads/16043657032b82c89c8eee568e887037f8f309f721.png	(from https://game4ou.xyz/Robloxrobuxgenerator)
